,NMF_Cell_Type_1,NMF_Cell_Type_2,NMF_Cell_Type_3,NMF_Cell_Type_4,NMF_Cell_Type_5,NMF_Cell_Type_6,NMF_Cell_Type_7,NMF_Cell_Type_8,NMF_Cell_Type_9,NMF_Cell_Type_10,NMF_Cell_Type_11,NMF_Cell_Type_12,NMF_Cell_Type_13,NMF_Cell_Type_14,NMF_Cell_Type_15
697668df-f834-4a06-8f5a-de999b06a254,0.10496828466441162,0.0,0.09354401846913712,0.12487806645797168,0.4588123761311946,0.0,0.013852020965012042,0.012392847463780542,0.01491361894044965,0.028270973834213693,0.021846129124156097,0.0,0.09135115774062055,0.035170506209052516,0.0
eb14339d-fefa-46c3-99a6-55268384361a,0.019650582105017488,0.2947894312806923,0.0,0.0,0.013642734238826055,0.05705793231736297,0.33589539546685043,0.10260428717217109,0.0,0.0,0.08325780648567602,0.0,0.09310183093340357,0.0,0.0
bb8cff3b-c3e6-4fc9-b9dd-9d04d76458c6,0.03939737168399405,0.1612726828754811,0.07368750938617641,0.18247075733401102,0.0,0.0,0.39385661628684515,0.0,0.0,0.029670764562882434,0.007328239070736159,0.041981714881603314,0.03878665632201803,0.03154768759625231,0.0
7994d0a6-cef5-4391-a121-5a0853a34fa7,0.032070143619054546,0.07707243783721346,0.17499105266130588,0.0,0.000378646478561583,0.012747068461339356,0.0,0.151561110971797,0.06975973326405635,0.3616794096844609,0.0,0.011988254917777219,0.06015433980833206,0.0,0.04759780229610182
69da7e4d-57d3-40d6-92af-3cd1aaf9e0ec,0.010455002240554638,0.13441074354611718,0.17324791278045681,0.26976565545392756,0.0,0.0,0.0017572292352272735,0.0,0.0,0.26185842145720567,0.0,0.023396129101746203,0.0,0.030736697145272697,0.09437220903949187
669abe06-4971-4b44-96ab-3bdf48788054,0.08629836570474379,0.0,0.39147499732108404,0.005969282372807185,0.0,0.16482601665690402,0.0,0.15401787903743844,0.012158223170187795,0.11863844757652849,0.0,0.0,0.0,0.03564324747703523,0.030973540683271007
a086aba1-0df5-497b-85e7-bc84aac1acec,0.03974049094734357,0.537290654519089,0.0,0.0,0.019493760228873534,0.0,0.0,0.043088007154747004,0.03408860621273171,0.0332228412799543,0.10539665825201718,0.170863412534748,0.016815568870495595,0.0,0.0
c147d12e-5e96-484e-bbe7-dc2f11f889bf,0.16362138679079555,0.030578766004360956,0.0,0.0,0.0,0.0009361635439726249,0.1839638506446563,0.0,0.07247914679113629,0.5419441652126346,0.006476521012443748,0.0,0.0,0.0,0.0
196d4b0c-a4ec-4915-b706-ada86ab483ae,0.0003071163636192066,0.06690755098999555,0.0,0.2513078204324105,0.003284314225083663,0.12654875343145397,0.001081574782752672,0.0,0.0023514364313927355,0.0026281711480604397,0.09035825234937452,0.2053088265568148,0.0,0.0,0.24991618328904194
ef009667-aaaf-4138-a170-e446012e0930,0.01672951817091857,0.17178911954771314,0.14766359473185517,0.0,0.0,0.08251432316365682,0.17843912449404287,0.0,0.00603863548234265,0.015054996899974906,0.10214884390704732,0.11616193097769026,0.0,0.0,0.16345991262475842
a85837e6-f98d-4a80-b7c1-49b0a6313dd7,0.0,0.23312105491260648,0.12098373738690665,0.1806305893444687,0.0384211843089346,0.0,0.0750362981568137,0.02039697584528007,0.04342634178412769,0.0731785589359701,0.014660577162266878,0.0,0.14509255552245615,0.055052126640168876,0.0
be6dd0e8-9966-4961-987d-4d64d15ff9ca,0.1034546252081057,0.0,0.04100748162716581,0.0,0.0,0.0,0.03923712407526889,0.1318721323288071,0.0,0.5962251317487515,0.000652653957460263,0.007616885638488007,0.021108962881758293,0.0,0.058825002534194586
008ddf20-f7fb-4673-b2ed-b5d5212fbf09,0.0,0.13659819074330376,0.0,0.044481146874297085,0.11996413574010724,0.0,0.11072466869128217,0.10923267812933359,0.09111115124254111,0.0,0.0,0.3006880899164645,0.0,0.03189455891352506,0.05530537974914545
02e4f2da-9977-4251-81da-9e9f3a2310de,0.0,0.0,0.0,0.2833366722142038,0.0,0.23328362127575247,0.0,0.1108387927391899,0.05141199454979928,0.13444356931093504,0.05419862006401975,0.10340455772781984,0.0,0.02908217211828002,0.0
68449d03-6f2e-4b17-a2bf-c0494df32303,0.03996255825312672,0.0,0.11808253109716961,0.0,0.0,0.35748984420399704,0.0,0.0,0.0,0.024167094015179056,0.0,0.39783764429838564,0.062460328132141966,0.0,0.0
4b8ff65f-b563-4519-b984-c7cf26b3ad73,0.0625883902010411,0.06977948102604405,0.07881078469454368,0.06625675333060106,0.0,0.04482713401137594,0.0,0.4166280337482252,0.0281851872282807,0.0,0.006798630765154979,0.0911604244061783,0.0874341820064706,0.0,0.04753099858208437
810d293b-7dfc-4e91-ab29-042457632399,0.11332543607550218,0.0,0.0,0.05512437600443992,0.0,0.0,0.0,0.0,0.715934145003604,0.0,0.0,0.0,0.11561604291645394,0.0,0.0
c5f2311c-020a-47cd-a065-7fbc34488405,0.0,0.0,0.0997165597930747,0.0,0.0,0.04401324412950483,0.0,0.1409629658297791,0.0,0.3322119869568025,0.0,0.3408912890901579,0.0,0.0,0.04220395420068099
082ca353-a5ae-421f-ae58-098257a1425f,0.005704910999945443,0.15531846295837085,0.053042336279523594,0.05392513393319561,0.0,0.17095214969163583,0.024630727630396837,0.0637183536722954,0.039424677898379744,0.0,0.21045782474108343,0.0,0.053476024101828515,0.0,0.16934939809334465
46692ac0-8993-4cd3-9590-32ec9dd2c802,0.08214378191673957,0.03192390662595008,0.14519303811895265,0.04661788383466552,0.10839260062048435,0.02271686973112686,0.0,0.06443089247528297,0.02655058816957038,0.0,0.0,0.0,0.0,0.10280694498833824,0.36922349351888945
81dabf1f-e666-48c6-a912-2ea5bfecf585,0.0,0.0,0.0,0.04099359961399424,0.0,0.05081925989074126,0.0,0.0005082284095299796,0.028757667271556948,0.0,0.07128242890659817,0.22977231931707073,0.0973425825136343,0.45812228300137053,0.022401631075503796
96607b17-2894-4153-adde-3d970f47fe50,0.006871555663508209,0.0,0.26439302310433527,0.02223390985173484,0.0,0.13013237594312074,0.0,0.07341501562801518,0.04578781126889088,0.31456566379374695,0.0,0.12314293899361144,0.01945770575303644,0.0,0.0
